Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,backends,fidelity,Metrics,Static OEE,FGP-rOEE,WBCP,NAVI,NAVI Hybrid
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",local_fidelity,0.019780284595368524,1.2422104076299828e-15,2.4258391868877216e-08,2.3952821944649716e-11,4.785858181498327e-09
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_fidelity,7.259979873896996e-15,1.7426933810146202e-05,3.1800675145172896e-07,1.0428029844759631e-11,2.3905258998828842e-05
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",local_gate_num,4418.0,34531.0,17641.0,24530.0,19090.0
Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,backends,fidelity,Metrics,Static OEE,FGP-rOEE,WBCP,NAVI,NAVI Hybrid
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",F_eff,0.5662211624699635,0.5609180779376824,0.6740016551734361,0.5574895406426098,0.7108962682526413
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",num_comms,400.0,40.0,83.0,40.0,44.0
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",epairs,400.0,80.0,116.0,80.0,66.0
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",total_fidelity_loss,43.922286579177666,46.36455591755292,31.314364781126315,46.86038870205918,27.264465948050542
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",rgeo_mean_fid,0.8999999999999999,0.81,0.8630774549108272,0.81,0.8538149682454624
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",execution_time,0.3531370162963867,5.940083742141724,2.193509340286255,11.047792434692383,16.129403114318848
