Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,Metrics,FGP-rOEE,Static OEE,WBCP,NAVI
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,local_fidelity,5.891670033446605e-15,2.1902955333523397e-41,2.2434929162191726e-33,2.1870168407919062e-18
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,remote_fidelity,4.702542401795063e-158,1.9981014435330255e-110,2.116412563606322e-74,8.018060713102761e-38
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,local_fidelity_loss,32.730679605009094,93.52229686704923,75.09747976291874,40.615728989029996
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,remote_fidelity_loss,355.82099907204065,248.06860562551452,166.6699066714402,83.91539466799009
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,local_fidelity_log_sum,-32.76523690034849,-93.62195233129118,-75.17727407984378,-40.66399323182
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,remote_fidelity_log_sum,-362.2603413940449,-252.59216277786254,-169.6415744132195,-85.41653694748149
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,local_gate_num,54801.0,107171.0,93103.0,56895.0
Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,Metrics,FGP-rOEE,Static OEE,WBCP,NAVI
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,F_eff,0.8180452522657445,0.7585225438994824,0.8592194790496823,0.9181990951816782
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,num_comms,2289.0,2316.0,1358.0,703.0
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,epairs,4164.0,2316.0,1639.0,1406.0
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,total_fidelity_log_sum,-120.90424922133215,-166.3824208869199,-91.34199237106304,-51.37530162139811
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,total_fidelity_loss,118.4802009102537,163.8826250272156,89.88240225815449,50.613468564463474
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,geo_mean_fidelity,0.995525627323708,0.9976188979493559,0.9976623744129162,0.998082560096415
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,total_fidelity,3.104214509428965e-53,5.508492000843799e-73,2.1412962044826125e-40,4.875172641505406e-23
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,execution_time,1290.9400053024292,16.119979858398438,31.988770246505737,486.519775390625
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,remote_hops,414.0,2316.0,1077.0,0.0
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,remote_swaps,1875.0,0.0,281.0,703.0
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,local_fidelity,2.770267410570069e-07,1.7124372138889785e-26,3.9072496662951413e-13,6.315032955745487e-09
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,remote_fidelity,1.1205468820752494e-46,3.216755601996003e-47,5.4803157908078905e-28,7.719948059922506e-15
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,local_fidelity_loss,15.083187368704758,59.26598747272798,28.53983153319875,18.858072968260366
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,remote_fidelity_loss,103.39701354154894,104.61663755448762,61.342570724955735,31.755395596203112
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,local_fidelity_log_sum,-15.099151797306607,-59.32929479078431,-28.570772492589136,-18.880332862512187
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,remote_fidelity_log_sum,-105.80509742402555,-107.05312609613559,-62.77121987847391,-32.494968758885925
QV,60,25086,5337,602,2,"[30, 30]","['reset', 'rzz', 'rz', 'x', 'cz', 'sx', 'id', 'rx']","{'rzz', 'cz'}",all_to_all,local_gate_num,24672.0,67477.0,37671.0,26065.0
